account_lsr,bars_to_future_max,base_detected,base_vacuum,bias,close,confidence,future_max_return,global_lsr,idx,oi,oi_change_pct,oi_state,pattern,position_lsr,quote_validation,readiness,result_tag,suitable,symbol,time,trades
0.2179,24,,,,2.14646,,1.536679,0.2277,0,26870453.0,0.0,,,0.8584,,,EVENT_START,False,RAVEUSDT,2026-04-11 21:00:00 UTC,123290
0.2165,23,,,,2.18769,,1.48887182,0.2271,1,27013314.0,0.53,,,0.8515,,,,False,RAVEUSDT,2026-04-11 22:00:00 UTC,99442
0.2168,24,,,,2.16936,,1.75232327,0.2271,2,27157154.0,0.53,,,0.8532,,,,False,RAVEUSDT,2026-04-11 23:00:00 UTC,125897
0.2161,23,,,,2.0824,,1.86725893,0.2277,3,27139754.0,-0.06,,,0.8518,,,,False,RAVEUSDT,2026-04-12 00:00:00 UTC,493660
0.2132,22,,,,2.0931,,1.8526014,0.2213,4,27013061.0,-0.47,,,0.847,,,,False,RAVEUSDT,2026-04-12 01:00:00 UTC,368372
0.2086,21,,,,2.09675,,1.84763563,0.2164,5,27352904.0,1.26,,,0.8527,,,,False,RAVEUSDT,2026-04-12 02:00:00 UTC,232641
0.2105,20,,,,2.07118,,1.88279145,0.2145,6,27567157.0,0.78,,,0.8318,,,,False,RAVEUSDT,2026-04-12 03:00:00 UTC,137337
0.2099,24,,,,2.03606,,2.06952153,0.214,7,27995461.0,1.55,,,0.8299,,,,False,RAVEUSDT,2026-04-12 04:00:00 UTC,841595
0.2028,23,,,,1.97007,,2.17233905,0.2029,8,28068398.0,0.26,,,0.8487,,,,False,RAVEUSDT,2026-04-12 05:00:00 UTC,543560
0.2092,24,,,,2.77272,,1.43208835,0.206,9,28093398.0,0.09,,,0.8512,,,,False,RAVEUSDT,2026-04-12 06:00:00 UTC,2130007
0.2413,24,,,,2.84326,,2.28681865,0.2962,10,22723036.0,-19.12,,,0.827,,,,False,RAVEUSDT,2026-04-12 07:00:00 UTC,1313403
0.2575,23,,,,2.76768,,2.37657533,0.3142,11,22500642.0,-0.98,,,0.8242,,,,False,RAVEUSDT,2026-04-12 08:00:00 UTC,601005
0.2609,22,,,,2.49048,,2.75240114,0.3141,12,22791603.0,1.29,,,0.8111,,,,False,RAVEUSDT,2026-04-12 09:00:00 UTC,643612
0.2555,21,,,,2.52605,,2.69956256,0.2872,13,22426453.0,-1.6,,,0.8007,,,,False,RAVEUSDT,2026-04-12 10:00:00 UTC,821420
0.2679,20,,,,2.54719,,2.66885862,0.3094,14,21901814.0,-2.34,,,0.8196,,,,False,RAVEUSDT,2026-04-12 11:00:00 UTC,438751
0.2715,24,,,,2.73567,,2.5285579,0.3165,15,21976050.0,0.34,,,0.8116,,,,False,RAVEUSDT,2026-04-12 12:00:00 UTC,748621
0.2575,24,,,,2.71513,,2.56520682,0.3089,16,22219430.0,1.11,,,0.7865,,,,False,RAVEUSDT,2026-04-12 13:00:00 UTC,712820
0.2494,23,,,,2.85879,,2.38604794,0.2945,17,22008278.0,-0.95,,,0.7786,,,,False,RAVEUSDT,2026-04-12 14:00:00 UTC,604155
0.2579,22,,,,3.07215,,2.15088781,0.318,18,22681272.0,3.06,,,0.7818,,,,False,RAVEUSDT,2026-04-12 15:00:00 UTC,1390243
0.2563,24,,,,3.17048,,2.54756693,0.313,19,23054236.0,1.64,,,0.7921,,,,False,RAVEUSDT,2026-04-12 16:00:00 UTC,779471
0.2547,23,,,,3.9048,,1.88042665,0.3144,20,23201145.0,0.64,,,0.791,,,,False,RAVEUSDT,2026-04-12 17:00:00 UTC,1789288
0.2778,24,,,,3.79657,,2.0218276,0.3405,21,21542685.0,-7.15,,,0.8523,,,,False,RAVEUSDT,2026-04-12 18:00:00 UTC,2604786
0.3215,24,,,,4.39336,,1.81121055,0.3782,22,19132355.0,-11.19,,,0.8667,,,,False,RAVEUSDT,2026-04-12 19:00:00 UTC,1042512
0.325,23,,,,4.89066,,1.5253565,0.3914,23,18369833.0,-3.99,,,0.8733,,,,False,RAVEUSDT,2026-04-12 20:00:00 UTC,1432643
0.3132,22,,,,5.44488,,1.26830711,0.3803,24,17181053.0,-6.47,,,0.8726,,,EVENT_PEAK,False,RAVEUSDT,2026-04-12 21:00:00 UTC,1084764
0.324,21,,,,5.32251,,1.32045783,0.3922,25,16395152.0,-4.57,,,0.8738,,,,False,RAVEUSDT,2026-04-12 22:00:00 UTC,1311668
0.3077,20,,,,5.97078,,1.06851701,0.3532,26,16179676.0,-1.31,,,0.8811,,,,False,RAVEUSDT,2026-04-12 23:00:00 UTC,1205369
0.32,19,,,,5.90886,,1.09019337,0.3868,27,15351148.0,-5.12,,,0.8644,,,,False,RAVEUSDT,2026-04-13 00:00:00 UTC,1057522
0.3497,18,,,,5.58276,,1.21228568,0.4164,28,15011290.0,-2.21,,,0.8839,,,,False,RAVEUSDT,2026-04-13 01:00:00 UTC,928287
0.3501,17,False,Not Applicable: Reset branch has priority,Neutral / Unclear,5.69802,Medium,1.16753539,0.4004,29,15057833.0,0.31,OI Deleveraging After Pump,Mixed Structure,0.8814,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Accepted Structure,,False,RAVEUSDT,2026-04-13 02:00:00 UTC,735195
0.4004,16,True,Not Applicable: Reset branch has priority,Distribution Risk,5.84027,Medium,1.11474127,0.4104,30,14898800.0,-1.06,OI Deleveraging After Pump,Failed Base Ignition,0.8709,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,,False,RAVEUSDT,2026-04-13 03:00:00 UTC,459972
0.3976,15,True,Not Applicable: Reset branch has priority,Distribution Risk,6.24973,Medium,0.97619097,0.4126,31,14937729.0,0.26,OI هابط تدريجي,Bull Trap Risk,0.8587,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,,False,RAVEUSDT,2026-04-13 04:00:00 UTC,659774
0.401,14,True,Not Applicable: Reset branch has priority,Distribution Risk,6.19254,Medium,0.9944417,0.4403,32,14691535.0,-1.65,OI هابط تدريجي,Bull Trap Risk,0.8553,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Failed / Invalidated,,False,RAVEUSDT,2026-04-13 05:00:00 UTC,480875
0.4033,13,True,Not Applicable: Reset branch has priority,Early Bullish Structure,6.7435,Medium,0.83149107,0.4302,33,14904916.0,1.45,Delayed Constructive OI Reload After Reset,Absorption After Flush,0.875,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Primed Structure,FIRST_SIGNAL,True,RAVEUSDT,2026-04-13 06:00:00 UTC,594351
0.3953,12,True,Not Applicable: Reset branch has priority,Neutral / Unclear,9.34528,Medium,0.32159336,0.4407,34,14623445.0,-1.89,OI هابط تدريجي,Mixed Structure,0.8657,Quote Volume غير متوفر: استخدم Trades كبديل ولا ترفع الثقة إلى High إلا بتأكيد OI والسعر,Accepted Structure,,False,RAVEUSDT,2026-04-13 07:00:00 UTC,2294015
